epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
206,0.337363,0.228651,2.174254,1.549199,102.5373,2.6023,9.2472,0.2905
207,0.336962,0.227915,2.180928,1.547593,102.3921,2.6238,9.3619,0.3139
208,0.337167,0.228566,2.172031,1.548748,102.5516,2.5603,9.2571,0.3190
209,0.335824,0.224556,2.225365,1.538774,102.4102,2.5416,9.0962,0.2803
210,0.336343,0.227593,2.174999,1.547212,102.2956,2.6381,9.2707,0.2874
211,0.336864,0.227503,2.187212,1.545939,102.4418,2.5194,9.2445,0.3472
212,0.335623,0.225780,2.196875,1.544413,102.5948,2.5522,9.0889,0.3185
213,0.335769,0.225726,2.200847,1.544496,102.5053,2.5726,9.1739,0.2790
214,0.336409,0.227925,2.169691,1.548015,102.2113,2.5685,9.2141,0.3178
215,0.335975,0.225904,2.201436,1.542903,102.2706,2.5495,9.2762,0.3118
216,0.336239,0.227934,2.166099,1.547889,102.2200,2.5722,9.1343,0.3253
217,0.336016,0.226174,2.196847,1.544083,102.5470,2.5309,9.1913,0.3393
218,0.336030,0.227783,2.164940,1.547863,102.4641,2.5821,9.2869,0.3090
219,0.335994,0.225828,2.203322,1.542144,102.1780,2.5322,9.3219,0.3188
220,0.335910,0.226414,2.189907,1.544951,102.2673,2.6069,9.3640,0.3384
221,0.335692,0.224047,2.232887,1.536505,102.5231,2.5494,9.1833,0.3184
222,0.335476,0.225599,2.197543,1.542909,102.7598,2.5525,9.0285,0.3189
223,0.335763,0.225241,2.210433,1.542592,102.2966,2.5845,9.1460,0.3049
224,0.335907,0.226756,2.183013,1.545011,102.3606,2.5628,8.9315,0.3054
225,0.336244,0.226671,2.191471,1.544545,102.3763,2.6499,9.3517,0.3004
226,0.336690,0.227695,2.179899,1.544375,102.5862,2.6261,9.4123,0.3029
227,0.337170,0.227769,2.188027,1.544931,102.4400,2.6089,9.3681,0.2865
228,0.336154,0.225769,2.207691,1.538581,102.3784,2.5476,9.1710,0.2849
229,0.335996,0.227426,2.171410,1.545084,102.3382,2.5713,9.2787,0.3134
230,0.335716,0.226326,2.187809,1.542142,102.6107,2.6144,9.3598,0.3032
231,0.336697,0.227366,2.186622,1.543766,102.3424,2.5496,9.3965,0.2902
232,0.336280,0.228433,2.156940,1.547036,102.1909,2.6170,9.3870,0.2834
233,0.335898,0.224689,2.224188,1.535002,102.4192,2.5844,9.2287,0.3109
234,0.336289,0.227862,2.168534,1.544297,102.3247,2.4963,9.2266,0.3159
235,0.335241,0.225684,2.191146,1.541216,102.3173,2.5383,9.2902,0.2759
